Country,iso3,Subdivisions,First visit
China,CHN,Shaanxi,2001-12
China,CHN,Jiangsu,Before 2015
China,CHN,Shandong,Before 2015
China,CHN,Ningxia,Before 2015
China,CHN,Qinghai,Before 2015
China,CHN,Henan,Before 2015
China,CHN,Inner Mongolia,Before 2015
China,CHN,Guangdong,2015-07
China,CHN,Beijing,2017-07
China,CHN,Hunan,Before 2019
China,CHN,Jiangxi,Before 2019
China,CHN,Guizhou,2019-08
China,CHN,Liaoning,2019-07
North Korea,PRK,Pyongyang,2019-08
China,CHN,Sichuan,2021-05
China,CHN,Hebei,2021-07
China,CHN,Shanghai,2022-11
China,CHN,Zhejiang,2023-04
China,HKG,Hong Kong,2023-08
Switzerland,CHE,Genève,2023-08
Switzerland,CHE,Vaud,2023-08
France,FRA,Rhône-Alpes,2023-09
Switzerland,CHE,Bern,2023-09
Switzerland,CHE,Valais,2023-10
Switzerland,CHE,Luzern,2024-01
Switzerland,CHE,Schwyz,2024-01
Portugal,PRT,Grande Lisboa,2024-02
Spain,ESP,Madrid,2024-02
Spain,ESP,Catalonia,2024-02
France,FRA,Occitania,2024-02
Switzerland,CHE,Solothurn,2024-02
Italy,ITA,Piemonte,2024-03
Italy,ITA,Lombardia,2024-03
Italy,ITA,Friuli Venezia Giulia,2024-04
Italy,ITA,Toscana,2024-04
Italy,ITA,"Lazio	",2024-04
Vatican City,VAT,Vatican City,2024-04
Italy,ITA,Campania,2024-04
Switzerland,CHE,Schaffhausen,2024-05
Switzerland,CHE,Basel-Stadt,2024-07
Hungary,HUN,Budapest,2024-10
Austria,AUT,Vienna,2024-10
France,FRA,Provence-Alpes-Côte d'Azur,2024-10
Switzerland,CHE,Zürich,2024-12
Germany,DEU,Baden-Württemberg,2025-02
Switzerland,CHE,Fribourg,2025-02
Switzerland,CHE,Zug,2025-03
Switzerland,CHE,Aargau,2025-04
Switzerland,CHE,St. Gallen,2025-04
Switzerland,CHE,Glarus,2025-04
Switzerland,CHE,Ticino,2025-05
Switzerland,CHE,Nidwalden,2025-05
Switzerland,CHE,Obwalden,2025-05
Switzerland,CHE,Graubünden,2025-06
Switzerland,CHE,Uri,2025-06
Liechtenstein,LIE,Vaduz,2025-07
Switzerland,CHE,Thurgau,2025-07
Switzerland,CHE,Appenzell Innerrhoden,2025-08
Switzerland,CHE,Neuchâtel,2025-08
Switzerland,CHE,Appenzell Ausserrhoden,2026-02
