Country,iso3,iso2,Subdivisions,First visit
China,CHN,CN,Shaanxi Province,2001-12
China,CHN,CN,Jiangsu Province,Before 2015
China,CHN,CN,Shandong Province,Before 2015
China,CHN,CN,Ningxia Ningxia Hui Autonomous Region,Before 2015
China,CHN,CN,Qinghai Province,Before 2015
China,CHN,CN,Henan Province,Before 2015
China,CHN,CN,Inner Mongolia Autonomous Region,Before 2015
China,CHN,CN,Guangdong Province,2015-07
China,CHN,CN,Beijing Municipality,2017-07
China,CHN,CN,Hunan Province,Before 2019
China,CHN,CN,Jiangxi Province,Before 2019
China,CHN,CN,Guizhou Province,2019-08
China,CHN,CN,Liaoning Province,2019-07
North Korea,PRK,KP,Pyongyang,2019-08
North Korea,PRK,KP,North Hwanghae,2019-08
China,CHN,CN,Sichuan Province,2021-05
China,CHN,CN,Hebei Province,2021-07
China,CHN,CN,Shanghai Municipality,2022-11
China,CHN,CN,Zhejiang Province,2023-04
China,HKG,HK,Hong Kong Special Administrative Region,2023-08
Switzerland,CHE,CH,Genève,2023-08
Switzerland,CHE,CH,Vaud,2023-08
France,FRA,FR,Auvergne-Rhône-Alpes,2023-09
Switzerland,CHE,CH,Bern,2023-09
Switzerland,CHE,CH,Valais,2023-10
Switzerland,CHE,CH,Luzern,2024-01
Switzerland,CHE,CH,Schwyz,2024-01
Portugal,PRT,PT,Lisboa,2024-02
Spain,ESP,ES,Comunidad de Madrid,2024-02
Spain,ESP,ES,Cataluña/Catalunya,2024-02
France,FRA,FR,Occitanie,2024-02
Switzerland,CHE,CH,Solothurn,2024-02
Italy,ITA,IT,Piemonte,2024-03
Italy,ITA,IT,Lombardia,2024-03
Italy,ITA,IT,Veneto,2024-04
Italy,ITA,IT,Toscana,2024-04
Italy,ITA,IT,Lazio,2024-04
Vatican City,VAT,VA,Vatican City,2024-04
Italy,ITA,IT,Campania,2024-04
Switzerland,CHE,CH,Schaffhausen,2024-05
Switzerland,CHE,CH,Basel-Stadt,2024-07
Hungary,HUN,HU,Pest,2024-10
Austria,AUT,AT,Wien,2024-10
France,FRA,FR,Provence-Alpes-Côte d'Azur,2024-10
Switzerland,CHE,CH,Zürich,2024-12
Germany,DEU,DE,Baden-Württemberg,2025-02
Switzerland,CHE,CH,Fribourg,2025-02
Switzerland,CHE,CH,Zug,2025-03
Switzerland,CHE,CH,Aargau,2025-04
Switzerland,CHE,CH,St. Gallen,2025-04
Switzerland,CHE,CH,Glarus,2025-04
Switzerland,CHE,CH,Ticino,2025-05
Switzerland,CHE,CH,Nidwalden,2025-05
Switzerland,CHE,CH,Obwalden,2025-05
Switzerland,CHE,CH,Graubünden,2025-06
Switzerland,CHE,CH,Uri,2025-06
Liechtenstein,LIE,LI,Vaduz,2025-07
Switzerland,CHE,CH,Thurgau,2025-07
Switzerland,CHE,CH,Appenzell Innerrhoden,2025-08
Switzerland,CHE,CH,Neuchâtel,2025-08
Switzerland,CHE,CH,Appenzell Ausserrhoden,2026-02
